"Paper_ID","IG_N","IG_Mean","IG_SD","CG_N","CG_Mean","CG_SD","Dispersion_Note"
"Durand2000.pdf","","","","","","",""
"Spiering2004.pdf","","","","","","",""
"Lindholm2005.pdf","5","9.7","","5","7.8","","No dispersion reported"
"Woorons2008.pdf","8","43.7","","8","45.8","","SE"
"Sakamoto2014.pdf","","","","","","",""
"Guimard2014.pdf","","","","","","",""
"Malakhov2014.pdf","38","37.76","29.00","38","7.06","1.68",""
"Jacob2015.pdf","","","","","","",""
"Sakamoto2015.pdf","15","237.1","56.8","15","234.0","58.4",""
"Stavrou2015.pdf","14","4.1","0.8","14","3.8","0.8","SD assumed"
"Fujii2015.pdf","","","","","","",""
"Woorons2016.pdf","","","","","","",""
"Hakked2017.pdf","14","3.54","0.88","13","3.08","0.86",""
"Kacoglu2017.pdf","14","1.94","0.11","14","1.92","0.11",""
"Pelka2017.pdf","","","","","","",""
"Trincat2017.pdf","8","34","0.7","8","0","0",""
"Burtch2017.pdf","13","114","7","12","115","7",""
"Woorons2017.pdf","9","2.50","0.5","9","2.34","0.7",""
"FornasierSantos2018.pdf","","","","","","",""
"Gray2018.pdf","7","1.77","0.10","7","1.75","0.12",""
"Lim2018.pdf","10","2.15","0.42","10","2.11","0.38",""
"Sakamoto2018.pdf","15","1767.5","214.6","15","1692.0","218.8",""
"Fernandez2019.pdf","","","","","","",""
"Laborde2019.pdf","60","64.27","11.54","60","63.00","11.64",""
"Woorons2019.pdf","10","109.9","3.6","10","114.6","3.6",""
"Woorons2019b.pdf","9","911","117","9","852","69",""
"Bouten2020.pdf","","","","","","",""
"Lapointe2020.pdf","7","5.49","2.70","6","6.46","2.50",""
"Robertson2020.pdf","10","275.79","12.88","10","278.66","13.31",""
"Sakamoto2020.pdf","","","","","","",""
"Woorons2020.pdf","","","","","","",""
"Bahensky2021.pdf","22","2.83","0.88","23","1.42","0.52",""
"Citherlet2021.pdf","","","","","","",""
"Dobashi2021.pdf","","","","","","",""
"Grossman2021.pdf","10","2.20","0.45","10","2.24","0.40",""
"Taylor2021.pdf","47","694.10","266.68","47","783.61","339.63",""
"Vaidya2021.pdf","","","","","","",""
"Brocherie2022.pdf","","","","","","",""
"Conlon2022.pdf","23","32.30","20.27","23","35.91","16.21",""
"Marko2022.pdf","11","70.68","22.52","11","65.01","22.16",""
"You2023.pdf","75","97.62","43.81","75","62.84","35.96",""
"Braham2024.pdf","","","","","","",""
"Buxton2024.pdf","","","","","","",""
"Li2024.pdf","22","94.9","3.80","22","84.4","4.82",""
"Merlin2024.pdf","","","","","","",""
"Rosa2024.pdf","","","","","","",""
"Sikora2024.pdf","38","5.495","1.13","22","4.05","0.95",""
"Woorons2024.pdf","9","266","67","8","246","64",""
"Deniz2025.pdf","12","2410.42","395.06","12","2132.71","555.08",""
"Fernandez2025.pdf","13","92","9","13","87","7.9",""
"Fesseler2025.pdf","36","-12.89","2.78","36","-12.27","2.44",""
"Fox2025.pdf","","","","","","",""
"Kasap2025.pdf","40","164.65","9.40","40","159.05","10.38",""
"Liapaki2025.pdf","","","","","","",""
"Lorinczi2025.pdf","","","","","","",""
"Yilmaz2025.pdf","","","","","","",""
"Chiron2026.pdf","11","72.95","35.22","11","89.37","4.61",""
"Devipriya2026.pdf","60","201.35","","60","223.67","","No dispersion reported"
"FernandezBarradas2026.pdf","34","16","","34","52.27","","No dispersion reported"
"Iskra2026.pdf","38","75.97","28.48","38","49.95","25.37",""
"Jing2026.pdf","","","","","","",""
"Jones2026.pdf","21","129.5","12.6","20","132.6","13.5",""
"Katz2026.pdf","40","163.6","47.1","40","160.7","49.6",""
"Raidl2026.pdf","","","","","","",""
"Tomita2026.pdf","","","","","","",
